,DIA,HORA,ALT (m)
0,01,02:08,1.3
1,01,08:41,0.3
3,01,13:51,1.1
4,01,20:41,0.0
5,01,02:49,1.3
7,02,09:30,0.3
8,02,14:23,1.1
9,02,21:30,0.0
11,03,03:24,1.3
12,03,10:17,0.4
14,03,15:00,1.2
15,03,22:19,0.0
16,03,04:02,1.3
18,04,11:04,0.4
19,04,15:39,1.2
20,04,23:08,0.0
21,05,04:39,1.2
22,05,11:53,0.5
24,05,16:15,1.2
25,05,23:58,0.1
26,05,05:13,1.1
28,06,12:38,0.6
29,06,16:58,1.2
30,07,00:49,0.2
31,07,05:54,1.1
33,07,13:19,0.6
34,07,17:43,1.2
35,07,01:39,0.3
37,08,06:30,1.0
38,08,11:43,0.7
39,08,14:04,0.7
40,08,18:28,1.1
41,08,02:34,0.4
42,09,07:11,0.9
43,09,11:06,0.70.7
44,09,14:58,0.7
45,09,19:21,1.0
47,09,03:34,0.5
49,10,08:00,0.9
50,10,12:06,0.7
51,10,15:58,0.6
52,10,20:26,1.0
53,11,04:36,0.5
54,11,09:00,0.9
56,11,16:58,0.6
57,11,21:53,1.0
58,11,05:36,0.5
60,12,10:08,0.9
61,12,17:54,0.5
62,12,23:24,1.0
63,13,06:26,0.5
64,13,11:21,0.9
66,13,18:43,0.4
67,13,00:39,1.0
69,14,07:11,0.5
70,14,12:21,1.0
71,14,19:26,0.3
72,15,01:28,1.1
73,15,07:56,0.5
75,15,13:09,1.1
76,15,20:08,0.2
77,15,02:09,1.2
79,16,08:36,0.4
80,16,13:53,1.1
81,16,20:47,0.1
82,16,A :AL,(m)
83,01,02:32,1.3
84,01,09:17,0.2
86,01,15:00,1.4
87,01,21:47,0.3
88,01,03:02,1.3
90,02,09:34,0.2
91,02,15:36,1.3
92,02,22:15,0.4
93,03,03:34,1.2
94,03,09:45,0.2
96,03,16:09,1.3
97,03,22:36,0.5
98,03,04:02,1.2
100,04,10:08,0.3
101,04,16:49,1.2
102,04,23:19,0.6
103,05,04:34,1.1
104,05,10:17,0.4
106,05,17:24,1.1
107,05,00:39,0.7
108,06,05:04,1.0
109,06,10:32,0.41.0
110,06,22:08,0.8
111,06,23:19,0.8
112,06,02:04,0.7
113,07,05:47,0.9
114,07,14:02,0.50.9
115,07,22:00,0.8
116,07,23:41,0.9
117,07,03:21,0.7
119,08,06:41,0.9
120,08,15:21,0.5
121,08,23:49,0.9
123,09,04:24,0.7
124,09,08:06,0.8
126,09,16:26,0.4
127,09,00:00,1.0
129,10,05:15,0.6
130,10,10:39,0.9
131,10,17:23,0.3
132,11,00:19,1.1
133,11,06:00,0.5
135,11,11:49,1.0
136,11,18:11,0.2
137,11,00:43,1.2
139,12,06:39,0.4
140,12,12:30,1.2
141,12,19:00,0.2
142,13,01:09,1.2
143,13,07:15,0.3
145,13,13:09,1.3
146,13,19:47,0.1
147,13,01:39,1.2
149,14,07:56,0.2
150,14,13:51,1.4
151,14,20:32,0.1
152,15,02:06,1.2
153,15,08:38,0.1
155,15,14:26,1.4
156,15,21:19,0.2
157,15,02:38,1.2
159,16,09:21,0.1
160,16,15:06,1.4
161,16,22:09,0.3
163,16,A :AL,(m)
164,01,05:17,1.2
165,01,12:39,0.4
167,01,17:41,1.1
168,01,00:45,0.5
170,02,06:00,1.1
171,02,14:00,0.5
172,02,18:11,1.0
173,02,02:11,0.5
174,03,06:54,1.0
175,03,10:28,0.80.8
176,03,15:30,0.6
177,03,18:58,0.9
178,03,22:47,0.6
179,03,00:09,0.6
180,04,03:41,0.5
181,04,08:11,0.90.9
182,04,12:49,1.0
183,04,16:58,0.6
184,04,20:02,0.8
185,04,22:45,0.7
186,05,00:45,0.7
187,05,04:58,0.4
189,05,13:23,1.1
190,05,18:08,0.6
191,05,01:00,0.8
193,06,06:02,0.2
194,06,13:54,1.2
195,06,19:06,0.5
196,07,01:11,1.0
197,07,07:02,0.1
199,07,14:17,1.3
200,07,19:54,0.4
201,07,01:24,1.1
203,08,07:53,0.0
204,08,14:32,1.3
205,08,20:34,0.3
206,09,01:49,1.2
207,09,08:39,-0.1
209,09,14:43,1.3
210,09,21:09,0.3
211,09,02:15,1.3
213,10,09:21,-0.1
214,10,15:02,1.3
215,10,21:49,0.3
217,11,02:53,1.4
218,11,10:00,0.0
220,11,15:24,1.3
221,11,22:19,0.3
222,11,03:24,1.4
224,12,10:39,0.1
225,12,15:54,1.3
226,12,22:45,0.4
227,13,04:00,1.4
228,13,11:13,0.2
230,13,16:19,1.2
231,13,22:41,0.4
232,13,04:38,1.3
234,14,11:38,0.4
235,14,16:53,1.2
236,14,21:51,0.4
237,15,05:11,1.2
238,15,10:28,0.5
240,15,17:17,1.1
241,15,22:06,0.4
242,15,05:54,1.1
244,16,10:19,0.6
245,16,17:51,1.0
