,DIA,HORA,ALT (m)
0,01,02:08,1.3
1,01,08:41,0.3
2,01,13:51,1.1
3,01,20:41,0.0
4,01,02:49,1.3
5,02,09:30,0.3
6,02,14:23,1.1
7,02,21:30,0.0
8,03,03:24,1.3
9,03,10:17,0.4
10,03,15:00,1.2
11,03,22:19,0.0
12,03,04:02,1.3
13,04,11:04,0.4
14,04,15:39,1.2
15,04,23:08,0.0
16,05,04:39,1.2
17,05,11:53,0.5
18,05,16:15,1.2
19,05,23:58,0.1
20,05,05:13,1.1
21,06,12:38,0.6
22,06,16:58,1.2
23,07,00:49,0.2
24,07,05:54,1.1
25,07,13:19,0.6
26,07,17:43,1.2
27,07,01:39,0.3
28,08,06:30,1.0
29,08,11:43,0.7
30,08,14:04,0.7
31,08,18:28,1.1
32,09,02:34,0.4
33,09,11:06,0.7
34,09,14:58,0.7
35,09,19:21,1.0
36,09,03:34,0.5
37,10,08:00,0.9
38,10,12:06,0.7
39,10,15:58,0.6
40,10,20:26,1.0
41,11,04:36,0.5
42,11,09:00,0.9
43,11,16:58,0.6
44,11,21:53,1.0
45,11,05:36,0.5
46,12,10:08,0.9
47,12,17:54,0.5
48,12,23:24,1.0
49,13,06:26,0.5
50,13,11:21,0.9
51,13,18:43,0.4
52,13,00:39,1.0
53,14,07:11,0.5
54,14,12:21,1.0
55,14,19:26,0.3
56,15,01:28,1.1
57,15,07:56,0.5
58,15,13:09,1.1
59,15,20:08,0.2
60,15,02:09,1.2
61,16,08:36,0.4
62,16,13:53,1.1
63,16,20:47,0.1
64,17,02:47,1.2
65,17,09:11,0.4
66,17,14:26,1.2
67,17,21:23,0.1
68,17,03:19,1.3
69,18,09:51,0.4
70,18,15:02,1.2
71,18,21:58,0.1
72,19,03:54,1.3
73,19,10:24,0.4
74,19,15:38,1.2
75,19,22:34,0.1
76,19,04:26,1.3
77,20,10:58,0.4
78,20,16:08,1.2
79,20,23:11,0.1
80,21,05:00,1.2
81,21,11:36,0.5
82,21,16:47,1.2
83,21,23:53,0.2
84,21,05:34,1.2
85,22,12:15,0.5
86,22,17:21,1.2
87,23,00:43,0.3
88,23,06:06,1.1
89,23,13:04,0.5
90,23,18:02,1.2
91,23,01:47,0.4
92,24,06:49,1.0
93,24,14:06,0.5
94,24,18:54,1.1
95,25,03:00,0.4
96,25,07:34,0.9
97,25,15:19,0.5
98,25,19:56,1.0
99,25,04:17,0.5
100,26,08:36,0.8
101,26,16:36,0.5
102,26,21:32,1.0
103,26,23:15,0.9
104,27,05:38,0.5
105,27,12:45,0.8
106,27,17:45,0.4
107,27,01:26,1.1
108,28,06:47,0.4
109,28,13:08,0.9
110,28,18:47,0.2
111,29,02:04,1.2
112,29,07:45,0.4
113,29,13:23,1.0
114,29,19:43,0.1
115,29,02:34,1.3
116,30,08:34,0.4
117,30,13:47,1.1
118,30,20:34,0.0
119,31,02:58,1.3
120,31,09:17,0.4
121,31,14:17,1.2
122,31,21:19,-0.1
123,01,03:21,1.3
124,01,10:00,0.4
125,01,14:54,1.3
126,01,22:04,-0.1
127,01,03:49,1.3
128,02,10:41,0.4
129,02,15:26,1.3
130,02,22:49,0.0
131,03,04:13,1.3
132,03,11:15,0.4
133,03,16:04,1.3
134,03,23:30,0.1
135,03,04:47,1.2
136,04,11:49,0.5
137,04,16:43,1.3
138,05,00:08,0.2
139,05,05:15,1.1
140,05,12:09,0.5
141,05,17:19,1.3
142,05,00:45,0.3
143,06,05:51,1.1
144,06,10:30,0.5
145,06,18:00,1.2
146,07,01:24,0.5
147,07,06:19,1.0
148,07,10:53,0.5
149,07,18:45,1.1
150,07,00:53,0.6
151,08,02:21,0.6
152,08,06:58,0.9
153,08,11:21,0.5
154,08,19:36,1.0
155,09,00:09,0.7
156,09,07:41,0.9
157,09,13:54,0.6
158,09,16:00,0.6
159,09,20:51,0.9
160,09,05:02,0.7
161,10,08:47,0.8
162,10,17:19,0.5
163,11,00:49,0.9
164,11,06:08,0.6
165,11,10:39,0.8
166,11,18:21,0.4
167,11,01:19,1.0
168,12,07:02,0.6
169,12,12:24,0.9
170,12,19:09,0.3
171,13,01:47,1.1
172,13,07:45,0.5
173,13,13:11,1.0
174,13,19:54,0.2
175,13,02:11,1.2
176,14,08:21,0.4
177,14,13:49,1.1
178,14,20:30,0.1
